city,year,weekofyear,station_avg_temp_c,reanalysis_specific_humidity_g_per_kg,station_precip_mm,reanalysis_dew_point_temp_k,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,total_cases
sj,2010,1,29.49,7.86,52.95,300.64,0.209,0.209,0.141,0.706,31
sj,2010,2,32.74,8.77,30.61,303.89,0.227,0.228,0.313,0.467,27
sj,2010,3,22.83,7.44,19.74,293.98,0.305,0.356,0.419,0.65,21
sj,2010,4,28.2,6.58,29.11,299.35,0.525,0.219,0.146,0.764,22
sj,2010,5,26.2,7.71,27.97,297.35,0.185,0.447,0.124,0.737,31
sj,2010,6,30.47,6.78,44.18,301.62,0.483,0.229,0.779,0.643,13
sj,2010,7,30.22,8.17,37.69,301.37,0.372,0.29,0.68,0.35,22
sj,2010,8,29.03,6.24,46.48,300.18,0.152,0.791,0.641,0.239,20
sj,2010,9,31.09,8.93,23.22,302.24,0.704,0.536,0.332,0.144,22
sj,2010,10,24.68,6.8,56.25,295.83,0.721,0.431,0.184,0.599,28
sj,2010,11,29.08,9.54,39.28,300.23,0.466,0.399,0.118,0.176,33
sj,2010,12,28.26,7.7,41.84,299.41,0.735,0.275,0.387,0.629,13
sj,2010,13,25.57,7.5,58.31,296.72,0.663,0.231,0.725,0.478,24
sj,2010,14,25.89,7.67,32.16,297.04,0.673,0.703,0.105,0.458,14
sj,2010,15,23.75,7.58,33.15,294.9,0.76,0.326,0.463,0.592,17
sj,2010,16,28.77,7.93,1.62,299.92,0.299,0.126,0.527,0.452,21
sj,2010,17,27.42,8.3,39.31,298.57,0.79,0.269,0.57,0.633,17
sj,2010,18,30.37,7.09,68.06,301.52,0.543,0.475,0.163,0.685,17
sj,2010,19,25.03,7.43,41.99,296.18,0.574,0.112,0.458,0.259,19
sj,2010,20,24.81,8.47,21.61,295.96,0.756,0.196,0.339,0.179,29
sj,2010,21,30.44,6.77,44.55,301.59,0.471,0.269,0.165,0.728,29
sj,2010,22,28.78,8.78,15.26,299.93,0.608,0.728,0.721,0.646,16
sj,2010,23,25.96,8.23,45.86,297.11,0.104,0.213,0.484,0.584,19
sj,2010,24,24.43,8.66,20.51,295.58,0.328,0.623,0.555,0.694,25
sj,2010,25,30.47,9.9,35.09,301.62,0.286,0.271,0.781,0.375,22
sj,2010,26,28.83,8.83,40.26,299.98,0.504,0.445,0.237,0.606,31
sj,2010,27,24.79,8.48,35.53,295.94,0.111,0.75,0.4,0.777,26
sj,2010,28,25.46,6.49,31.07,296.61,0.219,0.49,0.755,0.587,24
sj,2010,29,25.35,8.15,41.16,296.5,0.714,0.619,0.588,0.592,17
sj,2010,30,23.87,7.06,50.3,295.02,0.707,0.739,0.458,0.451,24
sj,2010,31,29.71,9.14,59.08,300.86,0.723,0.337,0.363,0.166,29
sj,2010,32,26.54,8.08,86.29,297.69,0.301,0.514,0.121,0.126,16
sj,2010,33,26.58,9.09,41.29,297.73,0.639,0.251,0.536,0.16,18
sj,2010,34,28.14,7.35,82.88,299.29,0.608,0.783,0.461,0.326,28
sj,2010,35,26.01,8.85,24.15,297.16,0.118,0.774,0.685,0.587,22
sj,2010,36,24.4,7.67,30.5,295.55,0.484,0.6,0.562,0.296,18
sj,2010,37,34.37,9.03,9.61,305.52,0.349,0.63,0.11,0.181,22
sj,2010,38,29.33,8.77,21.46,300.48,0.444,0.431,0.221,0.404,23
sj,2010,39,32.9,6.57,31.2,304.05,0.362,0.538,0.452,0.7,23
sj,2010,40,25.06,8.46,43.98,296.21,0.119,0.51,0.758,0.503,20
