city,year,weekofyear,station_avg_temp_c,reanalysis_specific_humidity_g_per_kg,station_precip_mm,reanalysis_dew_point_temp_k,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,total_cases
sj,2000,1,27.22,6.25,53.76,299.31,0.171,0.832,0.671,0.69,15
sj,2000,2,29.52,8.43,36.65,301.79,0.433,0.27,0.516,0.148,27
sj,2000,3,25.26,6.68,65.56,296.26,0.684,0.246,0.45,0.133,15
sj,2000,4,34.57,7.01,22.19,304.9,0.452,0.242,0.197,0.457,19
sj,2000,5,28.97,8.15,18.36,300.36,0.391,0.316,0.612,0.205,17
sj,2000,6,27.16,8.26,0.0,297.99,0.444,0.527,0.205,0.186,22
sj,2000,7,19.27,7.1,39.07,291.0,0.519,0.328,0.123,0.428,14
sj,2000,8,20.9,6.14,12.01,292.54,0.32,0.596,0.518,0.688,20
sj,2000,9,27.83,6.71,25.92,298.6,0.642,0.446,0.221,0.476,15
sj,2000,10,28.66,7.38,24.42,299.73,0.371,0.166,0.189,0.821,28
sj,2000,11,24.49,9.06,26.09,296.37,0.437,0.304,0.172,0.777,19
sj,2000,12,27.74,7.79,20.15,297.44,0.669,0.64,0.424,0.57,22
sj,2000,13,21.91,7.72,40.5,294.42,0.347,0.208,0.178,0.541,20
sj,2000,14,28.54,7.23,0.0,298.68,0.687,0.162,0.465,0.468,29
sj,2000,15,17.47,7.82,14.68,288.21,0.429,0.116,0.72,0.772,11
sj,2000,16,19.3,6.92,33.66,292.22,0.676,0.181,0.787,0.273,16
sj,2000,17,29.35,6.42,58.29,300.89,0.486,0.292,0.802,0.223,11
sj,2000,18,20.89,7.71,74.48,292.2,0.77,0.489,0.337,0.679,21
sj,2000,19,27.72,9.34,39.58,297.64,0.281,0.192,0.723,0.215,16
sj,2000,20,21.57,6.43,51.08,292.33,0.476,0.208,0.11,0.272,13
sj,2000,21,17.8,7.44,13.92,287.73,0.25,0.703,0.637,0.654,11
sj,2000,22,27.95,6.92,26.81,300.11,0.597,0.817,0.315,0.794,23
sj,2000,23,26.36,7.77,97.94,299.39,0.8,0.703,0.451,0.689,18
sj,2000,24,21.75,6.86,13.08,292.81,0.751,0.44,0.286,0.277,21
sj,2000,25,37.62,6.09,25.79,309.11,0.718,0.333,0.208,0.791,19
sj,2000,26,25.46,5.85,29.05,296.35,0.231,0.14,0.543,0.611,18
sj,2000,27,26.21,7.5,16.96,297.68,0.236,0.278,0.287,0.528,19
sj,2000,28,21.55,8.93,41.57,293.18,0.174,0.733,0.777,0.835,21
sj,2000,29,25.59,7.2,38.81,298.21,0.447,0.389,0.58,0.3,14
sj,2000,30,27.31,9.57,0.0,299.33,0.346,0.385,0.614,0.323,20
sj,2000,31,27.76,9.59,45.97,299.73,0.5,0.575,0.316,0.651,17
sj,2000,32,25.24,8.91,53.77,298.21,0.163,0.802,0.203,0.819,25
sj,2000,33,28.55,6.66,9.66,299.73,0.543,0.171,0.562,0.228,21
sj,2000,34,16.83,7.87,36.8,288.4,0.469,0.55,0.798,0.19,11
sj,2000,35,27.47,8.52,20.73,299.44,0.35,0.774,0.672,0.303,19
sj,2000,36,25.39,7.96,60.0,295.48,0.387,0.647,0.515,0.802,25
sj,2000,37,26.05,9.09,56.42,298.04,0.189,0.738,0.578,0.191,22
sj,2000,38,26.43,9.07,0.0,296.33,0.444,0.432,0.326,0.789,24
sj,2000,39,16.76,7.57,23.21,288.37,0.18,0.849,0.599,0.588,10
sj,2000,40,28.12,6.65,30.51,299.47,0.249,0.783,0.592,0.127,22
sj,2000,41,20.07,4.7,18.04,291.97,0.796,0.679,0.624,0.728,7
sj,2000,42,31.41,7.61,14.07,301.97,0.651,0.245,0.303,0.632,25
