date,city,country_iso3,lat,lon,temperature_c,humidity_pct,rainfall_mm,windspeed_ms,dewpoint_c
20150101,Mumbai,IND,19.07,72.87,21.87,63.54,0.1,1.34,14.17
20150102,Mumbai,IND,19.07,72.87,21.64,69.24,0.01,1.66,15.19
20150103,Mumbai,IND,19.07,72.87,21.8,70.91,0.02,1.54,15.73
20150104,Mumbai,IND,19.07,72.87,23.61,64.48,0.0,2.14,15.71
20150105,Mumbai,IND,19.07,72.87,23.87,57.58,0.0,2.86,14.16
20150106,Mumbai,IND,19.07,72.87,23.31,56.39,0.0,1.89,13.28
20150107,Mumbai,IND,19.07,72.87,21.99,48.82,0.0,1.67,9.2
20150108,Mumbai,IND,19.07,72.87,21.65,44.4,0.0,2.08,7.43
20150109,Mumbai,IND,19.07,72.87,22.22,45.31,0.0,2.51,8.33
20150110,Mumbai,IND,19.07,72.87,22.16,42.27,0.0,2.73,7.03
20150111,Mumbai,IND,19.07,72.87,22.21,40.19,0.0,2.58,6.4
20150112,Mumbai,IND,19.07,72.87,22.31,41.28,0.0,2.32,6.72
20150113,Mumbai,IND,19.07,72.87,21.89,44.07,0.0,2.41,7.15
20150114,Mumbai,IND,19.07,72.87,22.01,46.79,0.0,1.72,8.1
20150115,Mumbai,IND,19.07,72.87,21.9,46.51,0.0,2.09,8.09
20150116,Mumbai,IND,19.07,72.87,22.45,47.91,0.0,2.17,9.55
20150117,Mumbai,IND,19.07,72.87,22.91,45.76,0.0,2.13,9.06
20150118,Mumbai,IND,19.07,72.87,22.97,47.38,0.0,2.09,9.75
20150119,Mumbai,IND,19.07,72.87,23.37,50.37,0.0,1.72,11.09
20150120,Mumbai,IND,19.07,72.87,22.8,62.36,0.0,1.68,14.33
20150121,Mumbai,IND,19.07,72.87,22.95,59.3,0.0,1.8,13.04
20150122,Mumbai,IND,19.07,72.87,22.82,70.74,0.32,2.01,16.18
20150123,Mumbai,IND,19.07,72.87,23.08,65.43,0.0,2.24,15.17
20150124,Mumbai,IND,19.07,72.87,23.86,58.52,0.04,1.81,14.23
20150125,Mumbai,IND,19.07,72.87,24.2,58.44,0.37,1.61,14.75
20150126,Mumbai,IND,19.07,72.87,22.79,63.29,0.0,2.19,14.45
20150127,Mumbai,IND,19.07,72.87,22.37,50.45,0.0,2.38,10.75
20150128,Mumbai,IND,19.07,72.87,22.79,53.47,0.0,1.84,11.81
20150129,Mumbai,IND,19.07,72.87,24.11,54.87,0.0,1.53,12.97
20150130,Mumbai,IND,19.07,72.87,25.46,47.17,0.0,2.62,12.3
