iso3,country_code_a2,year,month,pm25
AGO,,2018,1,15.534
AGO,,2018,2,17.203
AGO,,2018,3,25.31
AGO,,2018,4,18.163
AGO,,2018,5,15.175
AGO,,2018,6,15.221
AGO,,2018,7,11.543
AGO,,2018,8,3.0
AGO,,2018,9,5.821
AGO,,2018,10,9.757
AGO,,2018,11,11.284
AGO,,2018,12,16.13
AGO,,2019,1,15.682
AGO,,2019,2,18.886
AGO,,2019,3,22.306
AGO,,2019,4,23.736
AGO,,2019,5,19.202
AGO,,2019,6,14.774
AGO,,2019,7,12.913
AGO,,2019,8,8.83
AGO,,2019,9,8.873
AGO,,2019,10,7.567
AGO,,2019,11,13.53
AGO,,2019,12,13.446
AGO,,2020,1,13.095
AGO,,2020,2,16.84
AGO,,2020,3,20.248
AGO,,2020,4,18.291
AGO,,2020,5,15.312
AGO,,2020,6,15.131
AGO,,2020,7,12.212
AGO,,2020,8,10.506
AGO,,2020,9,8.136
AGO,,2020,10,12.258
AGO,,2020,11,10.492
AGO,,2020,12,12.441
AGO,,2021,1,16.883
AGO,,2021,2,19.642
AGO,,2021,3,19.207
AGO,,2021,4,17.91
AGO,,2021,5,14.096
AGO,,2021,6,14.159
AGO,,2021,7,9.316
AGO,,2021,8,10.116
AGO,,2021,9,9.839
AGO,,2021,10,7.778
AGO,,2021,11,11.424
AGO,,2021,12,15.239
AGO,,2022,1,21.307
AGO,,2022,2,13.981
AGO,,2022,3,15.719
AGO,,2022,4,21.65
AGO,,2022,5,13.688
AGO,,2022,6,15.513
AGO,,2022,7,10.412
AGO,,2022,8,10.654
AGO,,2022,9,7.363
AGO,,2022,10,10.324
AGO,,2022,11,12.438
AGO,,2022,12,13.025
AGO,,2023,1,18.237
AGO,,2023,2,21.998
AGO,,2023,3,19.507
AGO,,2023,4,17.175
AGO,,2023,5,17.07
AGO,,2023,6,13.719
AGO,,2023,7,10.576
AGO,,2023,8,9.372
AGO,,2023,9,8.809
AGO,,2023,10,9.857
AGO,,2023,11,8.103
AGO,,2023,12,16.857
ARG,,2018,1,15.795
ARG,,2018,2,16.641
ARG,,2018,3,18.877
ARG,,2018,4,20.724
ARG,,2018,5,16.06
ARG,,2018,6,17.658
ARG,,2018,7,12.51
ARG,,2018,8,10.628
ARG,,2018,9,11.092
ARG,,2018,10,10.145
ARG,,2018,11,12.7
ARG,,2018,12,22.37
ARG,,2019,1,16.773
ARG,,2019,2,15.302
ARG,,2019,3,17.878
ARG,,2019,4,19.369
ARG,,2019,5,21.845
ARG,,2019,6,16.39
ARG,,2019,7,13.222
ARG,,2019,8,10.645
ARG,,2019,9,13.69
ARG,,2019,10,11.622
ARG,,2019,11,11.175
ARG,,2019,12,14.862
ARG,,2020,1,18.971
ARG,,2020,2,22.402
ARG,,2020,3,18.454
ARG,,2020,4,18.425
ARG,,2020,5,24.836
ARG,,2020,6,14.391
ARG,,2020,7,13.561
ARG,,2020,8,7.535
ARG,,2020,9,10.422
ARG,,2020,10,11.161
ARG,,2020,11,14.088
ARG,,2020,12,10.708
ARG,,2021,1,15.156
ARG,,2021,2,19.739
ARG,,2021,3,23.883
ARG,,2021,4,22.516
ARG,,2021,5,24.465
ARG,,2021,6,11.296
ARG,,2021,7,14.996
ARG,,2021,8,12.796
ARG,,2021,9,11.165
ARG,,2021,10,10.384
ARG,,2021,11,9.157
ARG,,2021,12,12.806
ARG,,2022,1,18.315
ARG,,2022,2,18.656
ARG,,2022,3,22.191
ARG,,2022,4,19.136
